DATE,UNRATE
2011-01-01,9.0333333333333333
2011-04-01,9.0666666666666667
2011-07-01,9.0000000000000000
2011-10-01,8.6333333333333333
2012-01-01,8.2666666666666667
2012-04-01,8.2000000000000000
2012-07-01,8.0333333333333333
2012-10-01,7.8000000000000000
2013-01-01,7.7333333333333333
2013-04-01,7.5333333333333333
2013-07-01,7.2333333333333333
2013-10-01,6.9333333333333333
2014-01-01,6.6666666666666667
2014-04-01,6.2000000000000000
2014-07-01,6.0666666666666667
2014-10-01,5.7000000000000000
2015-01-01,5.5333333333333333
2015-04-01,5.4333333333333333
2015-07-01,5.1000000000000000
2015-10-01,5.0333333333333333
2016-01-01,4.9000000000000000
2016-04-01,4.9333333333333333
2016-07-01,4.9000000000000000
2016-10-01,4.7666666666666667
2017-01-01,4.5666666666666667
2017-04-01,4.3666666666666667
2017-07-01,4.3333333333333333
2017-10-01,4.1666666666666667
2018-01-01,4.0333333333333333
2018-04-01,3.9333333333333333
2018-07-01,3.7666666666666667
2018-10-01,3.8333333333333333
